"ngram","year","frequency"
"p",2021,9.95603913906962e-05
"p",2022,6.29856513114646e-05
"q",2000,1.66584650287405e-05
"q",2001,1.70554838405224e-05
"q",2002,1.71087522176094e-05
"q",2003,1.7064071081612e-05
"q",2004,1.68472873026206e-05
"q",2005,1.62919129382187e-05
"q",2006,1.59452980109823e-05
"q",2007,1.57704715612843e-05
"q",2008,1.59572464326629e-05
"q",2009,1.67819317929181e-05
"q",2010,1.76359410813477e-05
"q",2011,1.84424531783277e-05
"q",2012,1.94449039554456e-05
"q",2013,2.14140914717323e-05
"q",2014,2.31299033787634e-05
"q",2015,2.48309045543595e-05
"q",2016,2.58511798684984e-05
"q",2017,2.25977442564077e-05
"q",2018,1.96203847216176e-05
"q",2019,1.6814006552782e-05
"q",2020,1.50726439945477e-05
"q",2021,1.24295620480552e-05
"q",2022,7.5724547059508e-06
"r",2000,5.37377472937806e-05
"r",2001,5.38325555680785e-05
"r",2002,5.43722114040672e-05
"r",2003,5.44877636587314e-05
"r",2004,5.51483852697337e-05
"r",2005,5.54993603145704e-05
"r",2006,5.55317986124594e-05
"r",2007,5.61650938055079e-05
"r",2008,5.85441017132585e-05
"r",2009,6.03026928729378e-05
"r",2010,6.24217661554992e-05
"r",2011,6.31736449057436e-05
"r",2012,6.43812641750888e-05
"r",2013,6.68791903340856e-05
"r",2014,6.85060144210833e-05
"r",2015,6.94458509055299e-05
"r",2016,6.99261919570355e-05
"r",2017,5.99241076478003e-05
"r",2018,5.12429646083287e-05
"r",2019,4.22363976083164e-05
"r",2020,3.72957680762435e-05
"r",2021,3.00373430945911e-05
"r",2022,1.81857540155761e-05
"s",2000,0.000654338480671868
"s",2001,0.000655814376659691
"s",2002,0.000655379330661769
"s",2003,0.000653671799227595
"s",2004,0.000654238168083664
"s",2005,0.000655811171912189
"s",2006,0.000657263685882624
"s",2007,0.000658022896719298
"s",2008,0.000660935899109713
"s",2009,0.000661580864938774
"s",2010,0.000664758545878742
"s",2011,0.000667479122057557
"s",2012,0.000672708406844842
"s",2013,0.000680359878710338
"s",2014,0.00067989928148953
"s",2015,0.000675106454374535
"s",2016,0.000676692338726882
"s",2017,0.000581596570555121
"s",2018,0.000484050650681768
"s",2019,0.000384334325125175
"s",2020,0.000328144747375821
"s",2021,0.000263475847896188
"s",2022,0.000167205012985505
"t",2000,9.967437654268e-05
"t",2001,0.000100091361673549
"t",2002,0.000100402129949847
"t",2003,9.99597978079692e-05
"t",2004,0.000100213731846972
"t",2005,0.000100183312107609
"t",2006,0.000100446658117497
"t",2007,0.000100574193181404
"t",2008,0.00010375657438999
"t",2009,0.000106541610356154
"t",2010,0.000111184558980832
"t",2011,0.000113825696254415
"t",2012,0.000116816561785527
"t",2013,0.000121809471498377
"t",2014,0.000127198783697427
"t",2015,0.00013039303095346
"t",2016,0.000134128383901303
"t",2017,0.000115584605997096
"t",2018,9.90500401322996e-05
"t",2019,8.21852965080845e-05
"t",2020,7.30728085424441e-05
"t",2021,5.87988790357485e-05
"t",2022,3.68996734323446e-05
"u",2000,2.48689761974674e-05
"u",2001,2.52616868237965e-05
"u",2002,2.59212065429892e-05
"u",2003,2.59306070802268e-05
"u",2004,2.61044213922495e-05
"u",2005,2.64068709969121e-05
